Student Name,Time,Status,Emotion
Akshay Kumar,2025-08-08 19:55:20,Present,happy
Anushka Sharma,2025-08-08 19:55:21,Present,neutral
Billie Eilish,2025-08-08 19:55:22,Present,happy
Brad Pitt,2025-08-08 19:55:22,Present,happy
Dwayne Johnson,2025-08-08 19:55:23,Present,happy
Elizabeth Olsen,2025-08-08 19:55:24,Present,happy
Ellen Degeneres,2025-08-08 19:55:24,Present,happy
Hrithik Roshan,2025-08-08 19:55:25,Present,surprise
Hugh Jackman,2025-08-08 19:55:25,Present,angry
Lisa Kudrow,2025-08-08 19:55:26,Present,happy
Margot Robbie,2025-08-08 19:55:27,Present,happy
Natalie Portman,2025-08-08 19:55:27,Present,surprise
Priyanka Chopra,2025-08-08 19:55:28,Present,happy
Tom Cruise,2025-08-08 19:55:28,Present,angry
Vijay Deverakonda,2025-08-08 19:55:29,Present,angry
Amitabh Bachchan,,Absent,
Alia Bhatt,,Absent,
Henry Cavill,,Absent,
Virat Kohli,,Absent,
